,river,theta
380,Powder,5.718373553870554
381,Powder,5.057020844731081
382,Powder,7.005016874483375
383,Rio Grande,9.920186363158264
384,Rio Grande,10.03995823032197
385,Rio Grande,5.908195942124113
386,Rio Grande,7.461992293231352
387,Rio Grande,6.528191422518918
388,Rio Grande,6.6110708538913965
389,Rio Grande,11.833572094776196
390,Rio Grande,10.01814859836843
391,Rio Grande,8.543086563696452
392,Rio Grande,8.778286932560468
393,Rio Grande,6.999635540030984
394,Rio Grande,6.828105705074364
395,Rio Grande,6.449351995858504
396,Rio Grande,11.024788848233916
397,Rio Grande,5.596809196169662
398,Rio Grande,8.37456568509432
399,Rio Grande,6.32505662740238
400,Rio Grande,5.9567447671163345
401,Rio Grande,13.312413811937523
402,Rio Grande,5.46552351707896
403,Rio Grande,7.164335462128295
404,Rio Grande,8.273893230371998
405,Rio Grande,7.422497522790289
406,Rio Grande,5.071240278990239
407,Rio Grande,12.853673029463323
408,Rio Grande,5.905960342580935
409,Rio Grande,7.638274782743664
410,Rio Grande,7.74588541130442
411,Rio Grande,3.8580921051355106
412,Rio Grande,11.709486107748408
413,Rio Grande,8.850696040373542
414,Rio Grande,12.16033447185375
415,Rio Grande,6.3704632634212635
416,Rio Grande,7.061826457545106
417,Rio Grande,3.8327102407690967
418,Rio Grande,9.189521457447908
419,Rio Grande,4.998741860648532
420,Rio Grande,8.352130824779952
421,Rio Grande,8.25715150847761
422,Rio Grande,7.903205160550601
423,Rio Grande,5.293301994867803
424,Rio Grande,5.137495222177808
425,Rio Grande,6.53043771226413
426,Rio Grande,5.715801029495841
427,Rio Grande,6.25015857244657
428,Rio Grande,4.275112626864066
429,Rio Grande,4.673636909217459
430,Rio Grande,6.37865383248852
431,Tombigbee,2.2458141823099713
432,Tombigbee,2.348796989317194
433,Tombigbee,2.4615837976715698
434,Tombigbee,2.1060968936459865
435,Tombigbee,2.6453872487465415
436,Tombigbee,0.6046765396973032
437,Tombigbee,2.6147299847365164
438,Tombigbee,2.391005409003182
439,Tombigbee,2.6721875334568934
440,Tombigbee,2.4317908100820342
441,Tombigbee,1.085953198651387
442,Tombigbee,2.4433126254436344
443,Tombigbee,2.1225125983440165
444,Tombigbee,2.7632052373692755
445,Tombigbee,1.3602874186334086
446,Tombigbee,1.8384366930293583
447,Tombigbee,3.1429997682105153
448,Tombigbee,2.0826977654575054
449,Tombigbee,3.132814659476619
450,Tombigbee,3.490694726927315
451,Tombigbee,1.9427747128084711
452,Tombigbee,2.7021176239788343
453,Brazos,17.94916500549996
454,Brazos,9.752742871099938
455,Brazos,16.67520848564255
456,Brazos,21.980961204366327
457,Brazos,10.148638087149763
458,Brazos,15.181786968858244
459,Brazos,20.922230597060672
460,Brazos,18.801149623223882
461,Brazos,13.555056051512626
462,Brazos,24.3026029775781
463,Brazos,6.902523802394865
464,Brazos,7.967021405620745
465,Brazos,14.048216169606848
466,Brazos,26.40321742392333
467,Brazos,5.692900845236561
468,Brazos,16.80296725023149
469,Brazos,23.08532079774553
470,Brazos,21.293879631940122
471,Brazos,9.639643875277233
472,Brazos,38.34739402131934
473,Brazos,21.33601510983311
474,Brazos,12.343158976298591
475,Brazos,14.584009746709178
476,Brazos,17.541385756439894
477,Brazos,14.266833573807379
478,Brazos,14.366332916603469
479,Brazos,14.477317643482582
480,Brazos,11.506597261199065
481,Brazos,18.0848654712096
482,Brazos,18.170547153084126
483,Brazos,17.412772056540998
484,Brazos,15.825650945319175
485,Brazos,13.876118973667463
486,Mississippi,5.034596393030655
487,Mississippi,4.5162225931473525
488,Mississippi,5.484426870842114
489,Mississippi,7.2109041004968475
490,Mississippi,5.06504072827369
491,Mississippi,1.6327897009646255
492,Mississippi,6.2156728898966
493,Mississippi,3.9423879766001333
494,Mississippi,3.609538039713329
495,Mississippi,5.065686856243977
496,Mississippi,4.594145465081076
497,Mississippi,4.292883689616954
498,Mississippi,3.675993902208879
499,Mississippi,3.814206949657093
500,Mississippi,3.1693087960270225
501,Mississippi,4.291143745013543
502,Mississippi,1.613245613205429
503,Mississippi,3.5032138945222346
504,Mississippi,4.293771689728499
505,Mississippi,4.11182877574812
506,Mississippi,5.76425097691971
507,Mississippi,8.027064785560944
508,Sacramento,3.5448065847236436
509,Sacramento,5.873277916593752
510,Sacramento,4.225472065389331
511,Sacramento,4.867212417541922
512,Sacramento,3.276189245767641
513,Sacramento,5.018204034277047
514,Sacramento,7.800663892659306
515,Sacramento,4.759257257255532
516,Sacramento,3.2367230047402393
517,Sacramento,2.3848996303059806
518,Sacramento,1.9864257084594508
519,Sacramento,3.2341628559676012
520,Nestucca,4.463333519274797
521,Nestucca,8.082495176642398
522,Nestucca,11.37165944680951
523,Nestucca,11.952621784343243
524,Nestucca,10.997796257898143
525,Nestucca,17.233559969986747
526,Nestucca,8.149719806989252
527,Nestucca,12.023808612677051
528,Nestucca,13.973953929109058
529,Nestucca,8.42484005211538
530,Nestucca,11.073943017024499
531,Nestucca,12.428181489990306
532,Nestucca,18.220333244883413
533,Nestucca,3.4819304645220117
534,Nestucca,4.023216813455607
535,Nestucca,6.476935204792184
536,Nestucca,9.143143898168082
537,Nestucca,8.148870823846153
538,Nestucca,4.987363015338764
539,Nestucca,12.012150792795849
540,Nestucca,11.109030951502595
541,Nestucca,14.95956415161151
542,Nestucca,8.189004490882592
543,Nestucca,6.9963418337573
544,Nestucca,5.513212259301756
545,Nestucca,3.4686453183550223
546,Nestucca,9.913414164048405
547,Nestucca,4.143542987619518
548,Nestucca,3.9951508211395295
549,Nestucca,2.9555282572965025
550,Nestucca,3.43272591808426
551,Nestucca,7.338973487912362
552,Nestucca,10.705370821894059
553,Nestucca,5.36051344448251
